Traffic, Throughput, Delay
0.0005, 0.05062, 100
0.001, 0.09975, 99
0.0015, 0.15052, 100
0.002, 0.20085, 100
0.0025, 0.25138, 100
0.003, 0.29728, 99
0.0035, 0.35037, 100
0.004, 0.39771, 99
0.0045, 0.44865, 100
0.005, 0.5007, 100
0.0055, 0.54696, 99
0.006, 0.59527, 99
0.0065, 0.64669, 100
0.007, 0.69652, 100
0.0075, 0.75086, 100
0.008, 0.79091, 99
0.0085, 0.8429, 99
0.009, 0.8923, 99
0.0095, 0.93886, 99
0.01, 0.96981, 100
0.0105, 0.98898, 99
0.011, 0.99457, 100
0.0115, 0.9959, 100
0.012, 0.99729, 99
0.0125, 0.99781, 100
0.013, 0.99823, 100
0.0135, 0.99826, 99
0.014, 0.99854, 100
0.0145, 0.99883, 99
0.015, 0.99899, 100
0.0155, 0.99907, 99
0.016, 0.99916, 99
0.0165, 0.99909, 99
0.017, 0.9992, 100
0.0175, 0.99923, 100
0.018, 0.99924, 99
0.0185, 0.99927, 100
0.019, 0.99936, 100
0.0195, 0.99931, 99
0.02, 0.99929, 100
0.0205, 0.99947, 99
0.021, 0.99951, 100
0.0215, 0.99933, 100
0.022, 0.99957, 100
0.0225, 0.99941, 99
0.023, 0.9995, 100
0.0235, 0.99949, 100
0.024, 0.99946, 100
0.0245, 0.9995, 99
0.025, 0.99958, 100
0.0255, 0.99951, 99
0.026, 0.99965, 100
0.0265, 0.99957, 100
0.027, 0.99952, 100
0.0275, 0.99964, 99
0.028, 0.99962, 100
0.0285, 0.99961, 100
0.029, 0.99967, 100
0.0295, 0.99958, 100
0.03, 0.9996, 99
